"","Pclass","SibSp","Parch","Embarked","Sexfemale","Sexmale","EmbarkedC","EmbarkedQ","EmbarkedS","Survived"
"1",3,0,0,"Q",0,1,0,1,0,0
"2",3,1,0,"S",1,0,0,0,1,1
"3",2,0,0,"Q",0,1,0,1,0,0
"4",3,0,0,"S",0,1,0,0,1,0
"5",3,1,1,"S",1,0,0,0,1,1
"6",3,0,0,"S",0,1,0,0,1,0
"7",3,0,0,"Q",1,0,0,1,0,1
"8",2,1,1,"S",0,1,0,0,1,0
"9",3,0,0,"C",1,0,1,0,0,1
"10",3,2,0,"S",0,1,0,0,1,0
"11",3,0,0,"S",0,1,0,0,1,0
"12",1,0,0,"S",0,1,0,0,1,0
"13",1,1,0,"S",1,0,0,0,1,1
"14",2,1,0,"S",0,1,0,0,1,0
"15",1,1,0,"S",1,0,0,0,1,1
"16",2,1,0,"C",1,0,1,0,0,1
"17",2,0,0,"Q",0,1,0,1,0,0
"18",3,0,0,"C",0,1,1,0,0,0
"19",3,1,0,"S",1,0,0,0,1,1
"20",3,0,0,"C",1,0,1,0,0,1
"21",1,1,0,"C",0,1,1,0,0,0
"22",3,0,1,"S",0,1,0,0,1,0
"23",1,0,0,"S",1,0,0,0,1,1
"24",1,0,1,"C",0,1,1,0,0,1
"25",1,1,3,"C",1,0,1,0,0,1
"26",3,1,0,"S",0,1,0,0,1,0
"27",1,0,1,"C",1,0,1,0,0,1
"28",3,0,0,"C",0,1,1,0,0,0
"29",1,0,0,"S",0,1,0,0,1,0
"30",3,2,0,"C",0,1,1,0,0,0
"31",2,1,0,"S",0,1,0,0,1,0
"32",2,2,0,"S",0,1,0,0,1,0
"33",3,1,2,"S",1,0,0,0,1,1
"34",3,1,2,"S",1,0,0,0,1,1
"35",1,1,0,"C",0,1,1,0,0,0
"36",3,0,0,"C",0,1,1,0,0,0
"37",3,0,0,"S",1,0,0,0,1,1
"38",3,0,0,"S",1,0,0,0,1,1
"39",3,0,0,"S",0,1,0,0,1,0
"40",3,0,0,"S",0,1,0,0,1,0
"41",3,0,1,"C",0,1,1,0,0,0
"42",1,0,0,"S",0,1,0,0,1,0
"43",3,0,0,"S",0,1,0,0,1,0
"44",2,0,0,"S",1,0,0,0,1,1
"45",1,1,0,"S",1,0,0,0,1,1
"46",3,0,0,"S",0,1,0,0,1,0
"47",1,0,0,"C",0,1,1,0,0,1
"48",3,0,0,"Q",0,1,0,1,0,0
"49",1,0,0,"C",1,0,1,0,0,1
"50",3,0,2,"S",1,0,0,0,1,1
"51",1,1,0,"S",0,1,0,0,1,0
"52",2,0,0,"C",0,1,1,0,0,0
"53",2,2,1,"S",1,0,0,0,1,1
"54",1,3,2,"S",1,0,0,0,1,1
"55",2,0,0,"C",0,1,1,0,0,0
"56",3,4,1,"Q",0,1,0,1,0,0
"57",3,0,0,"S",0,1,0,0,1,0
"58",3,0,0,"S",0,1,0,0,1,0
"59",3,1,0,"S",0,1,0,0,1,0
"60",1,0,0,"C",1,0,1,0,0,1
"61",3,0,0,"S",0,1,0,0,1,0
"62",2,0,0,"S",0,1,0,0,1,0
"63",3,0,0,"S",0,1,0,0,1,0
"64",3,0,0,"Q",1,0,0,1,0,1
"65",1,2,2,"C",0,1,1,0,0,0
"66",2,0,0,"S",1,0,0,0,1,1
"67",3,0,0,"Q",1,0,0,1,0,1
"68",1,0,0,"S",0,1,0,0,1,0
"69",1,0,0,"C",0,1,1,0,0,1
"70",1,1,4,"S",1,0,0,0,1,1
"71",3,0,0,"Q",1,0,0,1,0,1
"72",3,0,0,"S",0,1,0,0,1,0
"73",3,0,0,"S",1,0,0,0,1,1
"74",1,0,0,"C",0,1,1,0,0,1
"75",1,0,0,"C",1,0,1,0,0,1
"76",1,0,0,"C",0,1,1,0,0,1
"77",3,0,0,"S",0,1,0,0,1,0
"78",1,2,0,"S",1,0,0,0,1,1
"79",2,0,0,"S",0,1,0,0,1,0
"80",3,0,0,"Q",1,0,0,1,0,1
"81",3,1,1,"C",0,1,1,0,0,0
"82",1,1,0,"S",0,1,0,0,1,0
"83",1,0,0,"S",0,1,0,0,1,0
"84",3,0,0,"S",0,1,0,0,1,0
"85",2,0,0,"Q",0,1,0,1,0,0
"86",3,1,0,"C",0,1,1,0,0,0
"87",3,0,0,"Q",1,0,0,1,0,1
"88",3,0,0,"S",1,0,0,0,1,1
"89",3,0,0,"Q",1,0,0,1,0,1
"90",2,1,1,"S",0,1,0,0,1,0
"91",3,1,0,"S",1,0,0,0,1,1
"92",3,0,0,"S",0,1,0,0,1,0
"93",1,1,2,"S",1,0,0,0,1,1
"94",3,0,0,"S",0,1,0,0,1,0
"95",1,0,0,"C",0,1,1,0,0,1
"96",3,0,0,"S",0,1,0,0,1,0
"97",1,1,0,"S",1,0,0,0,1,1
"98",3,0,0,"S",0,1,0,0,1,0
"99",3,0,0,"S",1,0,0,0,1,1
"100",3,0,0,"S",0,1,0,0,1,0
"101",1,1,0,"C",1,0,1,0,0,1
"102",2,1,0,"S",0,1,0,0,1,0
"103",3,0,0,"Q",0,1,0,1,0,0
"104",3,0,0,"S",0,1,0,0,1,0
"105",3,1,1,"C",1,0,1,0,0,1
"106",3,0,0,"S",0,1,0,0,1,0
"107",3,0,0,"Q",0,1,0,1,0,0
"108",3,0,0,"Q",0,1,0,1,0,0
"109",3,0,0,"S",0,1,0,0,1,0
"110",2,0,0,"S",0,1,0,0,1,0
"111",2,0,0,"C",0,1,1,0,0,0
"112",3,0,0,"Q",1,0,0,1,0,1
"113",1,0,0,"C",1,0,1,0,0,1
"114",3,0,0,"Q",1,0,0,1,0,1
"115",1,1,0,"S",1,0,0,0,1,1
"116",3,1,0,"C",0,1,1,0,0,0
"117",3,0,0,"C",0,1,1,0,0,0
"118",3,1,1,"S",1,0,0,0,1,1
"119",1,0,0,"C",0,1,1,0,0,1
"120",2,1,0,"S",1,0,0,0,1,1
"121",2,0,0,"S",1,0,0,0,1,1
"122",3,1,0,"Q",0,1,0,1,0,0
"123",1,1,0,"C",1,0,1,0,0,1
"124",3,0,0,"S",0,1,0,0,1,0
"125",3,0,0,"Q",0,1,0,1,0,0
"126",3,0,1,"S",1,0,0,0,1,1
"127",3,0,0,"S",0,1,0,0,1,0
"128",3,2,0,"Q",1,0,0,1,0,1
"129",2,0,0,"S",0,1,0,0,1,0
"130",3,0,0,"S",0,1,0,0,1,0
"131",3,0,0,"S",0,1,0,0,1,0
"132",1,0,0,"C",0,1,1,0,0,1
"133",3,0,4,"S",1,0,0,0,1,1
"134",3,1,0,"C",0,1,1,0,0,0
"135",3,0,0,"S",0,1,0,0,1,0
"136",3,0,0,"S",0,1,0,0,1,0
"137",3,0,0,"C",0,1,1,0,0,0
"138",2,0,0,"S",0,1,0,0,1,0
"139",3,0,0,"S",1,0,0,0,1,1
"140",3,1,6,"S",0,1,0,0,1,0
"141",3,5,2,"S",1,0,0,0,1,0
"142",1,0,0,"S",1,0,0,0,1,1
"143",1,1,3,"C",0,1,1,0,0,0
"144",2,0,0,"S",0,1,0,0,1,0
"145",1,0,0,"S",0,1,0,0,1,0
"146",3,3,0,"S",0,1,0,0,1,0
"147",1,0,0,"S",0,1,0,0,1,0
"148",3,0,0,"S",0,1,0,0,1,0
"149",1,0,0,"S",0,1,0,0,1,0
"150",2,1,1,"S",0,1,0,0,1,0
"151",1,0,1,"C",1,0,1,0,0,1
"152",3,0,0,"C",0,1,1,0,0,0
"153",3,0,0,"S",0,1,0,0,1,0
"154",3,0,2,"S",1,0,0,0,1,1
"155",3,4,2,"S",0,1,0,0,1,0
"156",3,0,0,"S",0,1,0,0,1,0
"157",1,0,0,"S",1,0,0,0,1,1
"158",3,0,0,"S",1,0,0,0,1,1
"159",1,0,0,"S",0,1,0,0,1,0
"160",3,0,2,"S",1,0,0,0,1,1
"161",3,0,0,"Q",1,0,0,1,0,1
"162",3,1,1,"C",0,1,1,0,0,0
"163",2,0,0,"S",1,0,0,0,1,1
"164",3,0,0,"S",0,1,0,0,1,0
"165",2,0,0,"S",0,1,0,0,1,0
"166",3,1,1,"S",1,0,0,0,1,1
"167",1,0,0,"C",0,1,1,0,0,1
"168",3,2,2,"S",0,1,0,0,1,0
"169",1,0,0,"C",1,0,1,0,0,1
"170",3,0,0,"S",1,0,0,0,1,1
"171",3,0,0,"S",0,1,0,0,1,0
"172",3,0,0,"C",0,1,1,0,0,0
"173",3,1,0,"S",0,1,0,0,1,0
"174",3,0,0,"C",0,1,1,0,0,0
"175",3,1,5,"S",0,1,0,0,1,0
"176",2,0,2,"S",1,0,0,0,1,1
"177",2,0,0,"S",1,0,0,0,1,1
"178",1,1,0,"C",0,1,1,0,0,0
"179",2,0,3,"S",1,0,0,0,1,1
"180",1,0,2,"C",1,0,1,0,0,1
"181",2,0,0,"S",0,1,0,0,1,0
"182",1,1,1,"C",0,1,1,0,0,0
"183",1,1,0,"S",1,0,0,0,1,1
"184",3,0,0,"Q",0,1,0,1,0,0
"185",1,1,1,"C",1,0,1,0,0,1
"186",2,0,0,"S",0,1,0,0,1,0
"187",2,0,1,"S",1,0,0,0,1,1
"188",3,2,0,"S",0,1,0,0,1,0
"189",3,8,2,"S",1,0,0,0,1,0
"190",2,0,0,"S",0,1,0,0,1,0
"191",2,1,0,"S",0,1,0,0,1,0
"192",1,0,0,"S",0,1,0,0,1,0
"193",3,1,1,"S",0,1,0,0,1,0
"194",2,0,0,"Q",0,1,0,1,0,0
"195",2,0,2,"S",0,1,0,0,1,0
"196",3,0,0,"S",0,1,0,0,1,0
"197",1,0,2,"C",0,1,1,0,0,1
"198",3,0,0,"S",1,0,0,0,1,1
"199",2,0,0,"S",0,1,0,0,1,0
"200",3,0,0,"S",1,0,0,0,1,1
"201",3,0,0,"Q",1,0,0,1,0,1
"202",3,0,2,"S",0,1,0,0,1,0
"203",1,1,0,"C",0,1,1,0,0,0
"204",2,1,1,"S",1,0,0,0,1,1
"205",2,0,0,"S",0,1,0,0,1,0
"206",1,0,0,"C",0,1,1,0,0,1
"207",3,0,0,"Q",1,0,0,1,0,1
"208",2,0,0,"S",0,1,0,0,1,0
"209",1,0,0,"C",1,0,1,0,0,1
"210",3,0,0,"S",0,1,0,0,1,0
"211",3,0,0,"S",0,1,0,0,1,0
"212",3,0,0,"S",0,1,0,0,1,0
"213",2,0,0,"S",0,1,0,0,1,0
"214",2,1,0,"S",1,0,0,0,1,1
"215",3,4,2,"S",1,0,0,0,1,0
"216",1,0,0,"S",0,1,0,0,1,0
"217",3,0,0,"Q",1,0,0,1,0,1
"218",1,1,1,"S",0,1,0,0,1,0
"219",1,1,1,"C",1,0,1,0,0,1
"220",3,0,0,"S",0,1,0,0,1,0
"221",2,1,0,"C",1,0,1,0,0,1
"222",3,0,0,"S",0,1,0,0,1,0
"223",2,0,0,"S",1,0,0,0,1,1
"224",3,0,0,"S",0,1,0,0,1,0
"225",1,0,0,"C",1,0,1,0,0,1
"226",3,0,2,"C",1,0,1,0,0,1
"227",3,0,0,"S",0,1,0,0,1,0
"228",3,0,0,"Q",1,0,0,1,0,1
"229",3,0,0,"S",0,1,0,0,1,0
"230",2,0,0,"S",0,1,0,0,1,0
"231",2,0,0,"S",0,1,0,0,1,0
"232",1,0,0,"S",1,0,0,0,1,1
"233",3,1,0,"S",0,1,0,0,1,0
"234",3,0,0,"Q",0,1,0,1,0,0
"235",1,1,0,"C",0,1,1,0,0,0
"236",3,0,0,"S",0,1,0,0,1,0
"237",1,1,0,"C",0,1,1,0,0,0
"238",3,0,0,"C",0,1,1,0,0,0
"239",2,1,1,"S",1,0,0,0,1,1
"240",1,1,0,"C",1,0,1,0,0,1
"241",1,0,0,"C",1,0,1,0,0,1
"242",2,0,2,"S",1,0,0,0,1,1
"243",1,1,1,"C",0,1,1,0,0,0
"244",3,0,0,"S",0,1,0,0,1,0
"245",3,1,2,"S",0,1,0,0,1,0
"246",1,1,0,"S",0,1,0,0,1,0
"247",2,0,0,"S",1,0,0,0,1,1
"248",2,1,1,"S",0,1,0,0,1,0
"249",2,1,0,"S",1,0,0,0,1,1
"250",3,1,0,"C",1,0,1,0,0,1
"251",2,1,2,"S",1,0,0,0,1,1
"252",3,0,0,"S",0,1,0,0,1,0
"253",1,1,0,"C",0,1,1,0,0,0
"254",3,0,0,"S",0,1,0,0,1,0
"255",3,0,0,"S",0,1,0,0,1,0
"256",3,0,0,"S",0,1,0,0,1,0
"257",3,0,0,"Q",0,1,0,1,0,0
"258",3,0,0,"S",0,1,0,0,1,0
"259",2,0,0,"S",1,0,0,0,1,1
"260",3,0,0,"S",0,1,0,0,1,0
"261",3,1,0,"S",0,1,0,0,1,0
"262",3,0,0,"S",0,1,0,0,1,0
"263",2,0,2,"S",1,0,0,0,1,1
"264",3,1,1,"S",1,0,0,0,1,1
"265",2,0,0,"C",0,1,1,0,0,0
"266",3,0,0,"S",0,1,0,0,1,0
"267",1,0,0,"S",0,1,0,0,1,0
"268",3,0,0,"S",0,1,0,0,1,0
"269",3,0,0,"S",1,0,0,0,1,1
"270",3,0,0,"S",0,1,0,0,1,0
"271",1,0,0,"C",0,1,1,0,0,1
"272",3,0,0,"Q",0,1,0,1,0,0
"273",1,1,0,"C",1,0,1,0,0,1
"274",3,1,0,"Q",1,0,0,1,0,1
"275",3,0,0,"C",0,1,1,0,0,0
"276",2,1,0,"S",1,0,0,0,1,1
"277",2,0,0,"S",0,1,0,0,1,0
"278",2,1,0,"S",0,1,0,0,1,0
"279",2,1,0,"S",0,1,0,0,1,0
"280",2,0,0,"S",0,1,0,0,1,0
"281",3,0,0,"S",1,0,0,0,1,1
"282",3,1,1,"S",0,1,0,0,1,0
"283",3,0,0,"Q",1,0,0,1,0,1
"284",3,1,1,"C",1,0,1,0,0,1
"285",3,1,1,"S",1,0,0,0,1,1
"286",3,0,0,"S",0,1,0,0,1,0
"287",3,0,0,"S",0,1,0,0,1,0
"288",1,1,0,"S",0,1,0,0,1,0
"289",3,0,0,"C",0,1,1,0,0,0
"290",3,0,0,"S",0,1,0,0,1,0
"291",1,0,0,"S",0,1,0,0,1,0
"292",3,0,0,"Q",1,0,0,1,0,1
"293",3,0,0,"C",0,1,1,0,0,0
"294",1,1,1,"S",0,1,0,0,1,0
"295",3,0,0,"S",0,1,0,0,1,0
"296",3,0,0,"S",0,1,0,0,1,0
"297",2,1,2,"C",1,0,1,0,0,1
"298",3,2,0,"C",0,1,1,0,0,0
"299",1,0,0,"S",0,1,0,0,1,0
"300",3,0,0,"S",0,1,0,0,1,0
"301",3,0,0,"S",0,1,0,0,1,0
"302",2,0,0,"C",0,1,1,0,0,0
"303",2,0,1,"S",0,1,0,0,1,0
"304",3,0,0,"S",0,1,0,0,1,0
"305",3,0,0,"Q",1,0,0,1,0,1
"306",1,1,1,"S",1,0,0,0,1,1
"307",1,1,2,"S",0,1,0,0,1,0
"308",3,0,1,"S",0,1,0,0,1,0
"309",1,1,1,"S",0,1,0,0,1,0
"310",3,1,0,"S",1,0,0,0,1,1
"311",3,0,0,"S",0,1,0,0,1,0
"312",3,0,0,"C",0,1,1,0,0,0
"313",3,0,0,"S",0,1,0,0,1,0
"314",3,0,0,"Q",1,0,0,1,0,1
"315",1,0,0,"C",1,0,1,0,0,1
"316",3,0,0,"Q",1,0,0,1,0,1
"317",1,1,0,"C",0,1,1,0,0,0
"318",2,0,0,"S",0,1,0,0,1,0
"319",3,0,0,"S",0,1,0,0,1,0
"320",2,2,0,"S",0,1,0,0,1,0
"321",3,0,0,"S",0,1,0,0,1,0
"322",3,0,0,"C",0,1,1,0,0,0
"323",2,0,0,"S",0,1,0,0,1,0
"324",1,0,0,"S",0,1,0,0,1,0
"325",1,0,0,"S",1,0,0,0,1,1
"326",3,0,0,"S",0,1,0,0,1,0
"327",2,2,1,"S",1,0,0,0,1,1
"328",1,0,0,"C",0,1,1,0,0,1
"329",2,1,0,"S",0,1,0,0,1,0
"330",2,0,0,"S",0,1,0,0,1,0
"331",2,0,2,"S",1,0,0,0,1,1
"332",1,0,0,"C",0,1,1,0,0,1
"333",3,0,0,"C",0,1,1,0,0,0
"334",3,1,1,"C",1,0,1,0,0,1
"335",3,0,0,"S",0,1,0,0,1,0
"336",1,0,0,"S",0,1,0,0,1,0
"337",2,0,0,"S",0,1,0,0,1,0
"338",3,0,2,"C",0,1,1,0,0,0
"339",2,0,0,"S",0,1,0,0,1,0
"340",3,0,0,"C",0,1,1,0,0,0
"341",2,0,0,"S",0,1,0,0,1,0
"342",3,0,0,"S",0,1,0,0,1,0
"343",3,1,9,"S",0,1,0,0,1,0
"344",1,0,1,"C",1,0,1,0,0,1
"345",3,1,1,"S",0,1,0,0,1,0
"346",3,0,0,"S",1,0,0,0,1,1
"347",2,0,0,"S",0,1,0,0,1,0
"348",3,0,0,"C",1,0,1,0,0,1
"349",2,0,0,"S",0,1,0,0,1,0
"350",2,0,0,"S",1,0,0,0,1,1
"351",1,0,1,"C",1,0,1,0,0,1
"352",2,0,0,"S",0,1,0,0,1,0
"353",2,0,0,"S",0,1,0,0,1,0
"354",2,1,2,"S",0,1,0,0,1,0
"355",3,1,2,"S",1,0,0,0,1,1
"356",1,0,0,"S",0,1,0,0,1,0
"357",1,2,0,"S",1,0,0,0,1,1
"358",3,0,0,"S",0,1,0,0,1,0
"359",3,0,0,"Q",0,1,0,1,0,0
"360",3,1,0,"S",1,0,0,0,1,1
"361",3,8,2,"S",0,1,0,0,1,0
"362",2,1,1,"C",1,0,1,0,0,1
"363",2,0,0,"S",1,0,0,0,1,1
"364",3,0,0,"S",0,1,0,0,1,0
"365",1,1,0,"C",1,0,1,0,0,1
"366",3,1,9,"S",1,0,0,0,1,1
"367",3,1,0,"C",0,1,1,0,0,0
"368",3,0,0,"S",1,0,0,0,1,1
"369",1,0,1,"C",1,0,1,0,0,1
"370",2,0,0,"C",0,1,1,0,0,0
"371",2,1,0,"S",0,1,0,0,1,0
"372",1,0,0,"C",1,0,1,0,0,1
"373",1,0,0,"S",0,1,0,0,1,0
"374",2,0,0,"S",0,1,0,0,1,0
"375",1,1,1,"S",1,0,0,0,1,1
"376",1,0,0,"C",1,0,1,0,0,1
"377",3,2,0,"S",1,0,0,0,1,1
"378",2,0,0,"S",0,1,0,0,1,0
"379",1,0,0,"S",0,1,0,0,1,0
"380",3,4,2,"S",0,1,0,0,1,0
"381",3,0,0,"Q",0,1,0,1,0,0
"382",3,0,0,"Q",0,1,0,1,0,0
"383",3,0,0,"S",1,0,0,0,1,1
"384",3,1,0,"S",1,0,0,0,1,1
"385",2,0,0,"S",0,1,0,0,1,0
"386",2,1,2,"S",1,0,0,0,1,1
"387",3,0,0,"S",0,1,0,0,1,0
"388",2,0,0,"S",0,1,0,0,1,0
"389",3,0,0,"Q",0,1,0,1,0,0
"390",3,3,1,"S",0,1,0,0,1,0
"391",1,0,0,"S",0,1,0,0,1,0
"392",1,0,1,"S",1,0,0,0,1,1
"393",3,0,2,"S",0,1,0,0,1,0
"394",2,0,0,"S",0,1,0,0,1,0
"395",3,3,1,"S",0,1,0,0,1,0
"396",1,1,0,"S",1,0,0,0,1,1
"397",3,0,0,"Q",0,1,0,1,0,0
"398",1,1,1,"C",1,0,1,0,0,1
"399",3,0,0,"S",0,1,0,0,1,0
"400",3,0,0,"Q",0,1,0,1,0,0
"401",1,0,0,"S",1,0,0,0,1,1
"402",2,1,0,"S",0,1,0,0,1,0
"403",1,0,1,"C",1,0,1,0,0,1
"404",1,0,0,"S",0,1,0,0,1,0
"405",1,1,0,"C",0,1,1,0,0,0
"406",2,0,0,"C",0,1,1,0,0,0
"407",2,1,0,"S",0,1,0,0,1,0
"408",1,1,1,"C",0,1,1,0,0,0
"409",3,0,0,"Q",1,0,0,1,0,1
"410",3,1,1,"S",1,0,0,0,1,1
"411",3,0,0,"Q",1,0,0,1,0,1
"412",1,1,0,"Q",1,0,0,1,0,1
"413",3,0,0,"S",1,0,0,0,1,1
"414",3,0,0,"S",0,1,0,0,1,0
"415",1,0,0,"C",1,0,1,0,0,1
"416",3,0,0,"S",0,1,0,0,1,0
"417",3,0,0,"S",0,1,0,0,1,0
"418",3,1,1,"C",0,1,1,0,0,0
